Date,finbert_sentiment,weighted_finbert_sentiment,message_count
2020-10-01,-0.4280883252620697,-0.42808832526206975,10
2020-10-02,-0.5081390261650085,-0.5263124229352577,20
2020-10-05,-0.4436753034591675,-0.3569666492938995,20
2020-10-06,-0.34172276258468626,-0.3513853136116546,20
2020-10-07,-0.28064785997072855,-0.2562174469234493,30
2020-10-08,-0.3278936393558979,-0.349950984957629,40
2020-10-09,-0.3849477045238018,-0.43139169881293243,40
2020-10-12,-0.3205518513917923,-0.19645667791366575,20
2020-10-13,-0.13086873590946196,-0.13476041355492283,20
2020-10-14,-0.18132744630177816,-0.20752717323919737,30
2020-10-15,-0.2127265527844429,-0.2511832818274713,40
2020-10-16,-0.25134171545505524,-0.2681596630556012,40
2020-10-19,-0.13771573603153228,-0.059432849884033176,20
2020-10-20,-0.11940637230873108,-0.1448698168831573,20
2020-10-21,-0.10634380380312601,-0.11297184669474739,30
2020-10-22,-0.24787349849939347,-0.3587062480148446,40
2020-10-23,-0.26596355587244036,-0.2604328359979645,40
2020-10-26,-0.16606810986995696,-0.21794628262519836,20
2020-10-27,-0.2683371752500534,-0.2719253837717472,20
2020-10-28,-0.2716074844201406,-0.27499558599565294,30
2020-10-29,-0.26259958520531657,-0.25768202676463603,40
2020-10-30,-0.24267455264925958,-0.22077105218136217,40
2020-11-02,-0.20775278210639953,-0.2287054908275604,20
2020-11-03,-0.25338066220283506,-0.25581133532517636,20
2020-11-04,-0.27225292722384137,-0.282546007482593,30
2020-11-05,-0.2558181881904602,-0.24915191220026822,40
2020-11-06,-0.3010878011584282,-0.3262864360400867,40
2020-11-09,-0.46036470830440523,-0.4823320841789245,20
2020-11-10,-0.1495754599571228,-0.07070711801202946,20
2020-11-11,-0.20427773396174112,-0.1905876541749358,30
2020-11-12,-0.2396848678588867,-0.25880527515518026,40
2020-11-13,-0.1578596740961075,-0.20318416431179218,40
2020-11-16,-0.3729043662548065,-0.49484125018119807,20
2020-11-17,-0.3284369885921478,-0.27220426523443203,20
2020-11-18,-0.4014248768488566,-0.40798230123334966,30
2020-11-19,-0.3836852371692657,-0.37393644045586777,40
2020-11-20,-0.30186005532741544,-0.30500293599364064,40
2020-11-23,-0.10559789538383484,-0.019657565355300898,20
2020-11-24,-0.1912124663591385,-0.24316646194396238,20
2020-11-25,-0.25987515449523924,-0.3191647099008296,30
2020-11-27,-0.3409225642681122,-0.28427029288351113,30
2020-11-30,-0.2762305557727814,-0.3186651444435119,20
2020-12-01,-0.4248008280992508,-0.44247369621245314,20
2020-12-02,-0.2914117256800334,-0.2363172173456504,30
2020-12-03,-0.33419663161039354,-0.33568170263982167,40
2020-12-04,-0.31432655453681946,-0.30494460594161943,40
2020-12-07,-0.2610918805003166,-0.2572622716426849,20
2020-12-08,-0.30490793138742445,-0.3163042273531188,20
2020-12-09,-0.3551310211420059,-0.38501955792407905,30
2020-12-10,-0.309664636105299,-0.2920148699409646,40
2020-12-11,-0.27992130666971204,-0.22595592713909196,40
2020-12-14,-0.34481585323810576,-0.47026383638381947,20
2020-12-15,-0.2769479125738144,-0.21407420574645283,20
2020-12-16,-0.327109150091807,-0.3193417623683735,30
2020-12-17,-0.27238516360521314,-0.22661180898739297,40
2020-12-18,-0.21233632266521454,-0.24222340479136728,40
2020-12-21,-0.3414884269237518,-0.35816120624542225,20
2020-12-22,-0.2547644555568695,-0.22876754558863283,20
2020-12-23,-0.33413706223169964,-0.3590780469755105,30
2020-12-24,-0.2598630920052528,-0.21763596168873028,40
2020-12-28,-0.2758630633354187,-0.2758630633354187,10
2020-12-29,-0.33942921459674835,-0.35386022987830723,20
2020-12-30,-0.18732955058415732,-0.12160865014506067,30
2020-12-31,-0.17825745940208435,-0.13453573915338413,40
2021-01-04,-0.42928622364997865,-0.42928622364997865,10
2021-01-05,-0.291994708776474,-0.26082629744663444,20
2021-01-06,-0.2085584839185079,-0.15270556681501843,30
2021-01-07,-0.18407742232084273,-0.13422738254514954,40
2021-01-08,-0.06917631328105926,-0.04154754644270909,40
2021-01-11,-0.07699554562568664,-0.14138380050659177,20
2021-01-12,-0.2210134118795395,-0.2293461099374077,20
2021-01-13,-0.2690181374549866,-0.2962894474585242,30
2021-01-14,-0.2687482088804245,-0.28383736999474707,40
2021-01-15,-0.363405741751194,-0.41330651825392684,40
2021-01-19,-0.22772558331489562,-0.22772558331489565,10
2021-01-20,-0.24443883299827576,-0.24823313478939418,20
2021-01-21,-0.3236168384552002,-0.36355702983204957,30
2021-01-22,-0.25794589295983317,-0.23064129745703205,40
2021-01-25,-0.22766897529363633,-0.32771052658557887,20
2021-01-26,-0.13631801307201385,-0.07772620516204025,20
2021-01-27,-0.10628658334414164,-0.062183322984237475,30
2021-01-28,-0.1307680770754814,-0.12456410404764753,40
2021-01-29,0.013437572121620178,0.02893089431333925,40
2021-02-01,-0.13492262363433838,-0.3253268194198608,20
2021-02-02,-0.40152022838592527,-0.39000043403475554,20
2021-02-03,-0.26935538053512575,-0.20005929523086893,30
2021-02-04,-0.20645978376269342,-0.11999717379721145,40
2021-02-05,-0.13248031213879585,-0.11297828091216666,40
2021-02-08,-0.02018200159072876,0.06151583552360533,20
